final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,floyd_steinberg_tensor,Floyd + tensor,0,15.29334831237793,1.5613064790628362,8
640,floyd_steinberg_tensor,Floyd + tensor,25,20.088817596435547,2.3770192417626386,8
640,floyd_steinberg_tensor,Floyd + tensor,50,21.246359825134277,2.504870271100719,8
640,floyd_steinberg_tensor,Floyd + tensor,75,21.827008485794067,2.604330665999469,8
640,floyd_steinberg_tensor,Floyd + tensor,100,22.273009777069092,2.623116044734193,8
640,floyd_steinberg_tensor,Floyd + tensor,125,22.973915338516235,2.7071960713401273,8
640,floyd_steinberg_tensor,Floyd + tensor,150,23.325857639312744,2.7296841627589634,8
640,floyd_steinberg_tensor,Floyd + tensor,175,23.362314224243164,2.6632254010608047,8
640,floyd_steinberg_tensor,Floyd + tensor,200,24.119952917099,2.8092073239769766,8
640,floyd_steinberg_tensor,Floyd + tensor,225,24.470327854156494,2.824834835552734,8
640,floyd_steinberg_tensor,Floyd + tensor,250,23.174856662750244,2.6610366771435205,8
640,floyd_steinberg_tensor,Floyd + tensor,275,24.951067686080933,2.8642629654853784,8
640,floyd_steinberg_tensor,Floyd + tensor,300,25.295424461364746,2.924179165885143,8
640,floyd_steinberg_tensor,Floyd + tensor,325,25.49833369255066,2.9724530162809204,8
640,floyd_steinberg_tensor,Floyd + tensor,350,25.568533182144165,2.95400835450218,8
640,floyd_steinberg_tensor,Floyd + tensor,375,25.970385313034058,3.0322704608729283,8
640,floyd_steinberg_tensor,Floyd + tensor,400,26.16330313682556,3.082810961607455,8
640,floyd_steinberg_tensor,Floyd + tensor,425,25.936863660812378,3.0146100674811946,8
640,floyd_steinberg_tensor,Floyd + tensor,450,26.559889554977417,3.1307939835705527,8
640,floyd_steinberg_tensor,Floyd + tensor,475,26.768962621688843,3.185899673522386,8
640,floyd_steinberg_tensor,Floyd + tensor,499,26.877734422683716,3.2306391836309487,8
640,gaussianimage_fixed_full,GaussianImage fixed,0,16.921491026878357,1.3030095812981073,8
640,gaussianimage_fixed_full,GaussianImage fixed,25,19.613539457321167,2.2620064801082282,8
640,gaussianimage_fixed_full,GaussianImage fixed,50,21.17857074737549,2.811125091844673,8
640,gaussianimage_fixed_full,GaussianImage fixed,75,22.4129421710968,3.23889609337382,8
640,gaussianimage_fixed_full,GaussianImage fixed,100,23.282307624816895,3.4565399945563304,8
640,gaussianimage_fixed_full,GaussianImage fixed,125,23.973259449005127,3.406251021279391,8
640,gaussianimage_fixed_full,GaussianImage fixed,150,24.454180002212524,3.3256156836698763,8
640,gaussianimage_fixed_full,GaussianImage fixed,175,24.82435417175293,3.2579039139021146,8
640,gaussianimage_fixed_full,GaussianImage fixed,200,25.057605028152466,3.246819387901241,8
640,gaussianimage_fixed_full,GaussianImage fixed,225,25.248908042907715,3.2315815501827356,8
640,gaussianimage_fixed_full,GaussianImage fixed,250,25.382827520370483,3.2131082014609706,8
640,gaussianimage_fixed_full,GaussianImage fixed,275,25.48742961883545,3.226319752968307,8
640,gaussianimage_fixed_full,GaussianImage fixed,300,25.59612011909485,3.264244787964752,8
640,gaussianimage_fixed_full,GaussianImage fixed,325,25.622557640075684,3.245252521827584,8
640,gaussianimage_fixed_full,GaussianImage fixed,350,25.69767713546753,3.2087597346536127,8
640,gaussianimage_fixed_full,GaussianImage fixed,375,25.717288970947266,3.2342248565996616,8
640,gaussianimage_fixed_full,GaussianImage fixed,400,25.687381505966187,3.262317713751072,8
640,gaussianimage_fixed_full,GaussianImage fixed,425,25.74881148338318,3.2758440652754675,8
640,gaussianimage_fixed_full,GaussianImage fixed,450,25.75505304336548,3.2074629541407176,8
640,gaussianimage_fixed_full,GaussianImage fixed,475,25.786182641983032,3.197895902302716,8
640,gaussianimage_fixed_full,GaussianImage fixed,499,25.79090690612793,3.197032411996576,8
640,gaussianimage_plus_residual,GaussianImage++ residual,0,16.083515167236328,1.232669305613153,8
640,gaussianimage_plus_residual,GaussianImage++ residual,25,18.380610466003418,2.0366827689431526,8
640,gaussianimage_plus_residual,GaussianImage++ residual,50,19.649680852890015,2.345910838686695,8
640,gaussianimage_plus_residual,GaussianImage++ residual,75,20.63621163368225,2.6821404680133716,8
640,gaussianimage_plus_residual,GaussianImage++ residual,100,20.93311858177185,2.748822672460966,8
640,gaussianimage_plus_residual,GaussianImage++ residual,125,21.923028230667114,3.1453839706140365,8
640,gaussianimage_plus_residual,GaussianImage++ residual,150,22.609306812286377,3.243544147064636,8
640,gaussianimage_plus_residual,GaussianImage++ residual,175,22.26097321510315,2.736746664836192,8
640,gaussianimage_plus_residual,GaussianImage++ residual,200,23.378437280654907,3.1610986435177577,8
640,gaussianimage_plus_residual,GaussianImage++ residual,225,23.961843252182007,3.24363539207074,8
