image,budget,seed,strategy,tensor,density,sampling,color,scale,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,psnr,ssim,ms_ssim,lpips,n_gaussians,init_seconds,fit_seconds,total_seconds
000000186042,512,0,aniso_flanking,central,structure,wse,bilinear,spacing,none,normalized,charbonnier,adam,none,residual_add,single,strategy=aniso_flanking|tensor=central|density=structure|sampling=wse|color=bilinear|scale=spacing|renderer=normalized|opacity=none|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,23.5934,0.75488,0.90695,,576,4.705936431884766,0.6024792194366455,5.840838193893433
000000186042,512,0,aniso_flanking,central,variance,density_random,bilinear,uniform,constant,normalized,l1,adamw,none,prune_residual_add,single,strategy=aniso_flanking|tensor=central|density=variance|sampling=density_random|color=bilinear|scale=uniform|renderer=normalized|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=single,22.0267,0.63419,0.88127,,576,0.003763914108276367,0.28523850440979004,0.28916430473327637
000000186042,512,0,aniso_flanking,scharr,structure,density_random,local_mean,spacing,constant,normalized,charbonnier,adamw,cosine,none,pyramid,strategy=aniso_flanking|tensor=scharr|density=structure|sampling=density_random|color=local_mean|scale=spacing|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adamw|lr_schedule=cosine|refine=none|pyramid=pyramid,23.7995,0.69899,0.92016,,512,0.0,0.17412447929382324,0.17412447929382324
000000186042,512,0,aniso_onedge,scharr,hybrid,jittered_grid,local_mean,spacing,none,additive,l1,adam,none,none,single,strategy=aniso_onedge|tensor=scharr|density=hybrid|sampling=jittered_grid|color=local_mean|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,7.1845,0.3419,0.56547,,512,0.003356456756591797,0.17004156112670898,0.17351078987121582
000000186042,512,0,aniso_flanking,scharr,hybrid,density_random,bilinear,uniform,constant,additive,charbonnier,adam,cosine,residual_add,pyramid,strategy=aniso_flanking|tensor=scharr|density=hybrid|sampling=density_random|color=bilinear|scale=uniform|renderer=additive|opacity=constant|loss=charbonnier|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=pyramid,-19.1281,0.02812,0.02396,,576,0.0,0.4779953956604004,0.4779953956604004
000000186042,512,0,aniso_flanking,central,hybrid,jittered_grid,local_mean,spacing,constant,additive,l1,adamw,cosine,prune_residual_add,single,strategy=aniso_flanking|tensor=central|density=hybrid|sampling=jittered_grid|color=local_mean|scale=spacing|renderer=additive|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=cosine|refine=prune_residual_add|pyramid=single,-2.1772,0.33141,0.482,,576,0.0031843185424804688,0.20453429222106934,0.20795130729675293
000000186042,512,0,iso_blue_noise,central,variance,jittered_grid,local_mean,uniform,none,additive,charbonnier,adamw,none,prune_residual_add,single,strategy=iso_blue_noise|tensor=central|density=variance|sampling=jittered_grid|color=local_mean|scale=uniform|renderer=additive|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=single,-10.0508,0.19612,0.25415,,576,0.0037240982055664062,0.19375085830688477,0.197615385055542
000000186042,512,0,aniso_flanking,central,variance,wse,local_mean,uniform,none,normalized,l1,adamw,cosine,none,single,strategy=aniso_flanking|tensor=central|density=variance|sampling=wse|color=local_mean|scale=uniform|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=cosine|refine=none|pyramid=single,20.6386,0.58619,0.82991,,512,4.383428573608398,0.23032236099243164,4.613908529281616
000000186042,512,0,iso_blue_noise,central,hybrid,wse,bilinear,uniform,constant,normalized,l1,adamw,cosine,residual_add,single,strategy=iso_blue_noise|tensor=central|density=hybrid|sampling=wse|color=bilinear|scale=uniform|renderer=normalized|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=cosine|refine=residual_add|pyramid=single,19.6623,0.54807,0.79359,,576,2.40356707572937,0.19588208198547363,2.5995919704437256
000000186042,512,0,aniso_flanking,central,variance,density_random,local_mean,spacing,none,normalized,charbonnier,adam,cosine,residual_add,single,strategy=aniso_flanking|tensor=central|density=variance|sampling=density_random|color=local_mean|scale=spacing|renderer=normalized|opacity=none|loss=charbonnier|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,22.9573,0.7357,0.90427,,576,0.0033571720123291016,0.18677067756652832,0.19025754928588867
